POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Pro Bowl
LB,73.13,246,4.8,22,32.0,109,4.46,7.17,1
TE,77.13,256,4.67,17,31.0,113,4.38,7.34,1
TE,78.25,260,4.53,15,38.5,120,4.45,6.9,1
DE,74.6,260,4.65,28,34.0,121,4.14,7.03,1
LB,72.75,227,4.75,20,30.0,107,4.55,7.21,0
RB,72.6,242,4.68,22,34.0,112,4.35,7.4,0
RB,71.8,230,4.88,17,34.5,124,4.35,7.31,0
S,71.75,202,4.64,18,37.0,119,4.3,7.15,0
S,73.5,177,4.77,18,36.0,117,4.15,7.31,1
K,66.5,170,4.79,21,30.4,115,4.43,7.31,0
S,71.0,197,4.84,13,36.0,121,4.3,7.2,0
WR,72.6,180,4.91,19,31.1,112,4.44,7.31,1
CB,72.5,188,4.95,7,30.7,111,4.44,7.31,1
CB,71.8,199,4.89,19,31.8,111,4.39,7.31,0
S,69.75,195,4.46,15,35.0,125,4.15,7.12,0
QB,74.88,230,4.85,21,30.0,115,4.55,7.13,0
DE,76.9,263,4.86,20,36.5,124,4.37,7.31,0
RB,69.5,202,4.61,14,35.5,120,4.43,7.71,0
LB,75.75,242,4.68,19,31.0,118,4.53,7.44,0
RB,68.0,176,4.89,19,31.8,111,4.39,7.31,1
OT,76.1,366,5.49,27,25.0,98,4.85,8.25,1
WR,72.88,193,4.36,16,30.0,116,4.4,7.07,0
CB,69.75,179,4.46,8,39.0,120,4.26,6.83,0
DE,77.6,274,4.91,19,31.1,112,4.44,7.31,1
CB,69.4,184,4.91,15,31.1,112,4.44,7.31,0
LB,74.0,230,4.85,25,31.4,110,4.44,7.31,0
LB,73.5,264,4.69,28,34.5,109,4.18,6.83,1
DT,77.75,310,5.03,26,24.5,106,4.62,7.44,1
CB,71.75,202,4.43,16,34.5,132,4.14,6.81,0
LB,75.9,258,4.61,27,34.0,122,4.18,6.94,1
DE,76.0,283,5.13,18,30.0,101,4.68,7.91,0
LB,75.88,252,4.65,23,34.0,114,4.41,7.29,0
RB,75.3,237,4.54,12,34.0,123,4.77,7.31,0
WR,70.88,195,4.4,15,36.0,120,4.15,6.77,1
S,71.38,202,4.46,20,33.5,122,4.46,7.31,0
QB,74.13,222,4.67,20,27.5,116,4.25,6.87,1
RB,73.0,248,4.81,21,34.1,112,4.29,7.31,0
CB,71.38,193,4.77,20,33.3,116,4.45,7.31,0
LB,72.25,237,4.76,19,32.9,111,4.42,7.31,1
RB,68.4,200,4.59,26,37.0,118,4.33,7.09,1
WR,72.0,198,4.45,20,36.0,112,4.37,7.31,1
LB,76.9,262,4.58,21,37.0,122,4.24,7.31,1
DE,74.88,261,4.73,30,32.5,112,4.43,7.14,1
TE,76.75,258,4.68,27,33.0,115,4.4,7.03,0
CB,72.38,188,4.65,11,33.5,132,4.25,7.26,0
LB,69.6,215,4.52,21,38.0,125,4.21,7.48,1
S,71.5,205,4.46,17,39.5,120,4.43,7.31,1
CB,72.75,195,4.55,14,41.0,135,4.18,6.77,0
CB,69.8,191,4.54,14,32.5,124,4.28,7.31,0
RB,70.88,209,4.58,21,31.0,114,4.51,7.31,0
LB,73.8,234,4.89,22,35.5,120,4.4,7.62,1
OG,76.0,273,5.31,21,27.5,104,4.45,7.31,1
RB,74.0,247,4.69,25,33.0,121,4.18,6.98,0
C,73.9,285,5.25,22,24.0,94,4.6,7.31,0
RB,72.8,259,4.83,25,33.5,109,4.37,7.79,0
CB,70.3,171,4.38,7,35.0,126,4.22,7.31,1
RB,74.0,212,4.64,17,33.5,118,4.18,7.31,1
C,76.5,304,5.25,25,27.0,95,4.92,7.74,1
RB,74.63,223,4.38,22,36.0,124,4.36,6.81,1
S,74.4,213,4.55,21,39.5,120,4.37,7.31,1
WR,68.25,175,4.35,14,39.0,124,4.0,6.69,0
OT,76.9,308,5.4,21,29.5,106,4.45,8.13,1
OT,79.5,308,5.34,25,24.5,103,4.73,7.31,1
CB,73.1,203,4.89,20,31.8,111,4.39,7.31,0
RB,73.5,217,4.41,22,38.5,127,4.4,7.09,1
CB,70.13,183,4.64,12,35.5,115,4.2,6.95,0
LB,72.3,228,4.66,24,26.0,111,4.5,7.31,1
RB,71.0,224,4.67,17,31.0,107,3.97,6.95,0
RB,69.63,202,4.6,18,31.5,118,4.45,7.0,0
DE,76.75,270,4.71,19,30.5,115,4.67,7.18,1
WR,74.3,206,4.95,17,30.7,111,4.44,7.31,1
QB,74.5,219,5.24,22,33.5,111,4.09,7.12,0
OT,77.5,333,5.22,32,26.5,104,4.87,7.91,1
DE,75.4,275,5.25,17,31.5,113,4.56,7.31,0
QB,74.13,214,4.79,20,30.0,112,4.2,7.17,1
S,73.38,221,4.53,13,33.0,124,4.3,7.08,0
WR,69.8,187,4.48,17,34.5,124,4.44,7.31,1
OT,78.75,335,5.38,23,27.5,100,4.83,7.82,0
DT,74.5,306,5.29,19,26.5,99,4.54,7.31,0
DT,75.25,303,5.12,32,30.0,106,4.68,7.38,0
TE,77.0,246,4.49,23,41.0,123,4.45,7.31,1
DT,75.6,275,5.44,25,29.5,106,4.34,7.31,0
WR,69.13,179,4.5,22,35.0,123,4.21,6.71,0
CB,69.6,185,4.5,11,34.5,115,4.06,7.05,0
DT,73.8,324,5.4,24,24.5,101,4.81,8.22,0
LB,74.5,207,4.84,18,33.5,115,4.03,7.31,1
TE,75.0,252,5.05,16,31.0,110,4.41,7.31,0
DT,74.5,295,4.68,29,32.6,113,4.33,7.31,1
C,76.0,324,5.53,23,28.0,102,4.56,7.79,0
QB,74.5,211,4.92,18,32.5,116,4.2,7.31,1
C,74.63,303,5.35,29,30.5,105,4.74,7.95,1
S,72.5,191,4.95,12,33.0,111,4.44,7.31,1
QB,74.4,206,5.07,19,27.5,107,4.38,7.31,0
WR,74.25,221,4.58,22,33.0,125,4.35,6.81,1
CB,70.9,187,4.45,17,43.0,135,4.18,7.31,0
LB,73.5,232,4.58,18,32.0,117,4.44,7.31,0
S,71.0,203,4.42,19,36.5,127,4.11,6.99,1
DE,76.1,276,4.91,19,31.1,112,4.44,7.31,0
CB,73.1,206,4.53,21,38.0,121,4.08,6.9,1
S,73.9,202,4.64,12,37.0,117,4.25,7.31,1
LB,71.25,232,5.01,22,26.0,105,4.62,7.38,0
DT,76.6,321,4.89,25,31.5,96,4.26,7.65,1
OT,76.0,284,5.05,22,27.0,100,4.81,7.31,1
DE,79.0,291,5.05,21,32.0,116,4.47,7.51,1
OT,77.0,270,5.28,19,30.1,109,4.48,7.31,1
DE,76.25,272,4.64,33,41.0,128,4.2,7.31,1
QB,77.1,232,4.81,18,31.5,112,4.5,7.31,1
WR,72.88,201,4.59,5,37.0,116,4.38,7.08,0
WR,70.0,179,4.34,8,36.5,117,4.12,6.91,0
DE,76.4,249,4.84,20,38.5,132,4.24,7.31,1
C,74.63,280,4.89,21,30.5,110,4.14,7.22,1
S,71.38,198,4.51,22,34.5,126,4.15,6.67,1
CB,72.38,196,4.45,15,40.5,126,3.82,6.48,1
OT,78.88,313,5.18,20,31.0,105,4.62,8.01,1
DE,75.5,263,4.73,29,37.0,121,4.18,6.91,0
LB,71.88,238,4.84,23,35.0,113,4.16,7.31,1
RB,72.3,224,4.67,18,35.5,121,4.33,7.31,0
OG,74.63,310,4.93,25,27.5,102,4.77,8.16,1
RB,76.3,253,4.83,21,37.5,114,4.3,6.72,0
K,75.63,208,4.86,21,33.1,115,4.38,7.31,1
WR,74.13,215,4.5,21,40.5,123,4.14,7.09,1
OT,80.5,355,5.29,20,23.5,97,4.78,8.23,1
QB,76.0,219,5.03,20,32.5,111,4.46,7.31,0
OT,74.5,290,5.5,18,23.0,91,4.84,7.31,0
CB,69.75,186,4.42,20,36.0,122,4.46,6.63,0
WR,73.88,216,4.42,20,37.0,128,4.4,7.28,1
QB,73.4,190,4.74,15,30.5,117,4.35,7.31,1
LB,73.13,245,4.62,35,35.5,121,4.28,6.93,0
RB,73.8,225,4.61,14,36.5,114,4.41,7.31,1
DT,73.0,281,4.91,19,31.1,112,4.44,7.31,1
DE,76.13,281,5.0,24,32.0,112,4.36,7.34,0
RB,69.1,223,4.61,23,35.5,112,4.37,7.31,1
RB,73.0,215,4.53,24,34.0,120,4.62,7.26,0
CB,69.88,188,4.34,14,44.0,128,4.34,6.95,1
S,71.6,210,4.56,28,33.5,112,4.33,7.31,1
DT,77.38,295,5.0,21,31.0,108,4.53,7.13,0
C,74.0,310,5.31,22,28.0,111,4.74,7.31,1
LB,73.4,224,4.71,17,31.0,111,4.45,7.31,0
OT,81.63,328,5.3,19,34.0,114,4.36,7.31,0
WR,71.0,224,4.68,13,32.5,119,4.21,7.18,0
WR,71.0,192,4.46,16,30.4,115,4.43,7.31,0
DE,76.88,264,4.74,20,33.5,116,4.46,7.31,1
TE,76.4,215,4.91,19,31.1,112,4.44,7.31,0
DT,76.3,303,4.9,16,31.0,110,4.41,7.31,1
RB,70.5,216,4.62,18,36.5,119,4.53,7.22,1
RB,70.5,237,4.49,22,31.0,114,4.15,7.5,1
LB,73.1,221,4.58,21,33.0,115,4.19,6.97,1
CB,72.1,191,4.46,32,32.5,120,4.55,7.44,0
DT,75.88,305,5.12,18,35.0,109,4.65,7.7,0
LB,72.5,230,4.77,19,37.0,116,4.36,7.05,1
LB,74.13,241,4.63,21,32.0,121,4.27,7.07,0
CB,70.38,190,4.57,11,35.5,116,4.41,7.41,0
RB,72.1,242,4.86,20,32.5,117,4.47,7.31,0
K,72.88,209,4.78,20,32.6,115,4.43,7.31,0
QB,72.6,206,4.95,18,29.5,104,4.51,7.31,0
DE,78.0,265,4.76,13,33.0,120,4.34,7.11,1
LB,74.38,233,4.56,18,34.0,118,4.29,6.95,0
CB,74.63,195,4.54,16,38.0,125,4.33,6.82,1
C,75.0,273,5.1,20,25.5,100,4.79,7.31,1
C,75.0,314,4.99,31,26.5,108,4.74,7.31,0
WR,71.0,181,4.68,2,30.0,123,4.2,6.77,0
CB,74.0,208,4.42,18,39.0,131,4.45,7.31,1
QB,73.5,238,4.84,22,31.0,115,4.33,7.31,0
K,74.9,226,4.89,19,31.8,111,4.39,7.31,0
WR,70.13,180,4.48,20,33.0,122,4.21,6.86,0
K,73.5,213,4.95,17,30.7,111,4.44,7.31,0
QB,73.9,235,4.83,22,33.5,110,4.26,7.35,1
C,74.0,300,5.27,31,29.0,100,4.69,8.01,0
CB,73.75,197,4.49,9,39.0,139,4.36,6.9,1
LB,75.88,245,4.71,21,34.0,121,4.51,7.31,0
C,78.1,316,5.51,16,26.0,106,5.1,7.31,0
RB,68.0,204,4.55,21,31.5,119,4.51,7.31,0
RB,71.0,220,4.55,20,33.5,115,4.43,7.33,1
S,68.0,177,4.56,11,28.7,109,4.45,7.31,1
WR,69.88,194,4.77,12,31.5,118,4.27,6.97,0
S,74.38,202,4.61,16,40.0,126,3.85,6.58,1
DT,77.8,282,5.01,17,29.5,110,4.61,7.93,1
RB,74.63,247,4.54,22,37.0,130,4.38,7.2,1
DT,78.3,305,4.89,15,29.0,107,4.45,7.31,1
RB,72.1,220,4.41,23,35.5,116,4.22,7.31,1
OG,75.5,303,5.3,35,31.0,107,4.72,7.75,0
TE,74.5,236,4.72,16,32.6,115,4.43,7.31,1
CB,70.5,183,4.59,10,39.0,129,4.19,7.31,0
QB,75.63,221,4.74,20,33.5,116,4.46,7.31,1
DE,77.38,280,4.92,15,36.5,115,4.36,7.48,0
S,71.75,197,4.55,17,38.5,124,4.07,6.77,0
OG,74.63,311,5.13,24,32.0,111,4.97,7.74,1
WR,69.9,184,4.95,17,30.7,111,4.44,7.31,1
LB,73.9,224,4.71,18,33.0,116,4.56,7.31,0
DE,75.9,257,4.86,17,33.5,110,4.52,7.31,0
DT,71.25,322,4.78,21,34.0,114,4.36,7.31,0
TE,74.9,253,5.11,12,28.0,102,4.49,7.31,0
K,74.38,211,4.81,21,34.1,112,4.29,7.31,1
WR,72.0,195,4.46,11,35.0,115,4.32,7.03,1
WR,71.5,185,4.29,22,35.0,122,4.15,6.81,1
S,70.6,203,4.59,14,34.3,112,4.37,7.31,0
WR,73.0,214,4.57,15,36.0,115,4.5,6.83,1
CB,73.0,186,4.54,20,32.6,114,4.44,7.31,0
CB,72.13,204,4.46,14,33.0,121,4.13,6.73,1
CB,70.25,202,4.43,21,32.0,113,4.43,7.31,1
RB,72.0,233,4.83,17,32.0,115,4.12,7.31,0
DE,75.0,280,5.14,26,36.0,114,4.43,7.58,0
DT,74.1,319,5.31,21,31.5,106,4.9,7.31,0
CB,71.0,210,4.53,17,33.5,117,4.18,6.95,0
WR,68.9,183,4.48,20,31.5,114,4.0,7.46,0
RB,70.5,226,4.61,20,35.0,112,4.35,7.0,0
QB,74.1,204,4.9,21,31.0,103,4.56,7.66,0
CB,70.0,178,4.53,21,36.0,120,4.09,6.91,0
DE,76.63,262,4.6,18,38.5,128,4.48,7.53,0
S,73.0,206,4.55,22,34.5,121,4.27,6.72,0
WR,71.75,192,4.49,16,40.0,131,4.17,6.87,0
OG,74.4,270,5.01,29,29.0,101,4.53,7.31,1
OG,76.3,310,5.52,25,24.5,99,4.8,8.42,0
TE,76.5,243,4.95,15,28.0,109,4.56,7.31,1
WR,73.25,194,4.58,13,30.5,124,4.28,7.22,0
OG,76.9,367,5.72,31,25.0,95,4.89,8.21,0
DT,72.63,300,5.04,26,27.5,101,4.78,7.51,1
S,72.1,218,4.66,22,35.0,113,4.39,7.31,1
QB,74.0,215,4.83,21,29.5,106,4.27,6.93,1
TE,78.38,261,4.84,23,37.0,118,4.82,7.24,1
LB,75.3,252,4.7,21,35.0,118,4.49,6.91,1
DE,75.9,283,5.27,22,31.0,108,4.7,7.31,1
CB,72.88,187,4.54,4,36.0,126,4.32,7.17,0
OG,75.88,307,4.98,30,30.5,108,4.47,7.33,1
RB,71.8,240,4.58,23,32.4,112,4.39,7.31,1
RB,71.63,209,4.6,16,35.5,116,4.41,7.31,0
LB,73.0,253,4.69,25,37.0,117,4.24,7.32,0
QB,78.25,237,5.12,20,27.0,101,4.6,7.56,0
CB,70.25,192,4.38,14,35.0,127,3.98,6.71,1
C,75.88,315,5.44,21,26.0,97,5.02,7.9,0
RB,70.38,198,4.5,17,29.0,107,4.18,6.82,1
S,71.75,202,4.48,16,36.0,120,4.1,6.6,1
WR,67.9,196,4.88,20,31.9,112,4.35,7.31,0
RB,71.0,197,4.3,21,35.0,130,4.43,7.31,1
CB,71.75,197,4.56,12,33.0,121,4.2,6.78,1
CB,71.0,173,4.82,6,30.1,109,4.48,7.31,0
RB,70.5,223,4.53,28,35.0,115,4.62,6.93,0
WR,70.25,191,4.52,13,42.5,129,4.41,7.1,0
TE,76.0,257,4.92,20,35.0,119,4.46,7.31,0
QB,76.9,241,4.75,22,32.6,113,4.33,7.31,1
OT,78.5,289,5.69,11,19.5,87,4.73,7.31,0
LB,76.0,242,4.88,20,30.5,110,4.38,7.49,0
LB,74.0,226,4.61,25,37.5,126,4.26,7.31,1
WR,72.88,190,4.56,8,33.5,115,3.94,6.42,0
RB,74.4,214,4.55,19,32.8,112,4.39,7.31,1
WR,75.3,220,4.89,20,31.5,125,4.25,7.31,1
OT,76.88,304,5.3,32,26.5,108,4.62,7.23,0
WR,70.5,200,4.39,20,35.5,123,4.2,7.13,1
OT,76.5,316,5.25,20,27.0,95,4.8,7.98,1
QB,74.13,212,4.78,20,30.5,112,4.28,6.98,0
QB,74.0,223,4.75,21,34.5,110,4.32,7.38,1
QB,73.25,213,4.79,20,31.5,103,4.15,6.94,0
OG,74.3,304,5.21,18,26.0,103,4.6,7.31,1
OG,78.0,310,5.26,22,28.0,96,4.97,8.1,1
TE,74.0,240,4.6,20,35.0,114,4.34,7.31,0
C,75.0,297,5.12,20,32.6,114,4.74,7.85,0
TE,76.4,246,4.65,18,35.5,122,4.09,7.48,1
K,69.8,206,4.91,19,31.1,112,4.44,7.31,1
S,73.9,212,4.9,18,31.0,110,4.41,7.31,0
S,72.5,185,4.73,11,28.5,112,4.2,7.31,0
DT,75.5,293,5.24,23,25.0,95,4.65,7.59,0
DT,75.1,288,4.9,24,26.5,93,4.72,8.36,1
LB,74.5,231,4.89,20,30.5,109,4.29,7.31,0
DE,78.9,257,4.93,16,34.5,115,4.31,7.34,0
WR,75.5,200,4.53,22,39.5,119,4.34,7.09,1
LB,70.75,236,4.78,27,32.0,113,4.44,7.31,1
OT,77.9,339,5.86,17,22.5,81,5.09,7.31,0
DT,73.8,268,4.95,18,27.0,98,4.67,7.31,1
K,73.63,221,5.08,20,32.6,114,4.44,7.31,0
S,71.0,213,4.53,12,37.0,122,4.32,6.89,1
WR,75.38,228,4.33,27,40.5,134,4.5,7.38,1
LB,75.0,244,4.47,21,38.0,119,4.13,7.33,1
CB,70.5,173,4.61,20,37.5,121,4.33,7.31,0
LB,73.13,237,4.58,25,42.0,128,4.21,6.91,1
WR,74.75,212,4.57,18,35.0,126,4.13,6.8,1
CB,70.75,193,4.44,21,32.5,118,4.51,7.31,0
DT,74.88,299,5.08,29,27.0,100,4.65,7.55,1
CB,75.5,221,4.67,13,36.5,120,4.24,7.2,1
DE,77.3,281,4.87,26,35.5,118,4.48,8.03,1
DT,75.63,296,5.19,28,24.5,98,4.82,7.97,0
LB,73.13,229,4.53,22,36.5,126,4.15,6.93,0
WR,72.63,197,4.36,17,34.5,129,4.26,7.28,1
CB,67.9,164,4.58,13,32.5,115,4.1,7.31,0
WR,74.63,210,4.55,22,34.0,129,4.31,7.03,1
WR,68.4,171,4.91,19,31.1,112,4.44,7.31,0
QB,74.3,217,4.89,17,32.5,109,4.03,7.31,1
CB,70.5,192,4.46,18,28.5,116,4.34,7.31,0
K,74.38,208,4.79,20,32.3,115,4.46,7.31,1
QB,74.0,217,4.9,18,31.0,110,4.41,7.31,1
OG,75.25,314,5.18,23,32.5,99,4.78,7.88,0
C,74.5,263,4.93,18,37.5,113,4.46,7.28,0
LB,74.13,235,4.56,16,37.0,125,4.1,6.78,0
CB,71.8,184,4.28,21,37.0,121,3.79,7.31,1
OT,80.0,318,5.12,30,31.0,113,4.47,7.31,1
RB,69.75,212,4.7,18,37.0,122,4.41,7.31,0
DE,73.6,265,4.76,27,32.0,113,4.5,7.31,1
CB,69.8,201,4.46,15,41.5,126,4.29,7.31,1
CB,71.0,194,4.4,13,35.5,119,4.26,6.94,0
DE,75.4,237,4.88,18,31.9,112,4.35,7.31,1
LB,74.5,234,4.58,17,31.4,110,4.44,7.31,1
WR,68.75,172,4.53,20,37.5,118,4.06,6.73,1
OG,74.75,311,5.21,29,26.5,103,4.72,7.99,1
LB,74.1,248,4.99,22,33.0,113,4.33,7.4,0
S,69.5,207,4.5,20,36.5,120,4.33,6.96,0
QB,76.0,215,4.82,19,27.0,110,4.47,7.17,1
S,70.5,196,4.64,20,33.5,115,4.31,6.93,0
RB,66.13,187,4.49,23,33.0,102,3.96,6.96,1
CB,72.0,193,4.36,20,38.5,132,4.12,7.31,1
WR,72.13,194,4.48,21,34.5,121,4.51,7.31,0
WR,69.88,182,4.4,20,35.5,121,4.07,6.89,1
S,73.1,219,4.86,18,31.6,113,4.38,7.31,1
LB,72.5,225,4.56,23,36.5,124,4.51,7.31,0
OT,76.8,283,4.82,21,30.1,109,4.48,7.31,0
WR,71.1,182,4.48,13,30.1,109,4.48,7.31,1
RB,71.5,219,4.74,18,29.5,110,4.41,7.31,0
TE,77.0,235,5.03,13,30.5,105,4.16,7.31,1
DE,77.13,249,4.53,19,36.0,129,4.46,7.01,1
WR,74.63,220,4.6,20,39.0,126,4.0,7.0,1
DT,76.0,347,5.1,41,32.3,115,4.46,7.31,1
DT,75.4,275,4.9,22,31.0,110,4.41,7.31,0
DE,73.5,224,4.96,14,31.5,112,4.54,7.51,0
OG,74.8,314,5.1,29,30.5,104,4.66,7.75,1
OT,75.38,303,5.07,35,26.5,107,4.54,7.59,1
CB,70.13,189,4.52,11,32.0,116,4.12,6.7,1
DT,73.9,285,5.5,23,26.5,99,5.25,7.31,0
CB,70.25,182,4.71,17,34.5,118,4.51,7.31,0
CB,68.3,182,4.9,18,31.0,110,4.41,7.31,0
DT,74.0,275,5.11,22,24.0,100,4.64,7.31,0
WR,74.1,191,4.41,15,28.7,109,4.45,7.31,1
RB,70.8,188,4.67,12,34.5,117,4.22,7.31,0
DE,75.6,278,4.88,20,35.5,119,4.38,7.42,0
LB,73.13,242,4.53,22,39.0,119,4.46,7.23,1
RB,72.3,268,4.81,18,31.5,105,4.7,8.06,0
WR,73.25,207,4.46,18,41.0,126,4.01,7.12,1
S,71.25,195,4.5,19,33.5,123,4.19,7.03,1
RB,69.13,203,4.77,20,33.3,127,4.45,7.31,0
LB,71.0,233,4.85,20,28.5,104,4.24,7.31,1
CB,73.75,206,4.62,11,31.0,116,4.53,7.2,0
DT,75.4,314,5.03,27,29.5,102,4.33,7.31,1
CB,71.9,197,4.89,17,31.8,111,4.39,7.31,1
WR,75.75,214,4.58,16,33.5,119,4.28,7.11,0
TE,75.38,253,4.66,23,34.5,114,4.1,6.87,1
LB,72.1,227,4.91,18,28.5,104,4.16,7.31,0
DE,75.1,262,4.85,18,29.0,108,4.48,7.31,0
DE,75.0,266,4.77,21,34.0,112,4.43,7.12,0
CB,69.3,193,4.5,10,36.0,127,4.0,7.31,1
WR,73.1,199,4.88,20,31.9,112,4.35,7.31,0
QB,72.0,210,4.33,20,38.0,112,4.37,7.31,1
K,71.5,228,4.78,22,33.0,113,4.45,7.31,1
CB,71.13,196,4.75,13,32.5,108,4.22,7.11,0
OT,78.13,309,5.18,24,31.0,108,4.73,7.07,1
C,76.63,309,5.26,22,24.5,93,4.5,7.39,1
OG,76.6,322,5.47,20,26.0,94,4.71,8.66,1
LB,73.75,238,4.91,27,28.5,113,4.55,7.68,0
DE,76.9,288,4.77,18,31.5,112,4.61,7.31,0
TE,75.4,257,4.65,22,37.5,123,4.39,7.31,1
OG,76.0,316,5.15,30,26.5,113,4.42,7.31,1
LB,76.25,252,4.69,21,37.0,128,4.78,6.79,1
OG,75.1,301,5.36,25,29.0,96,4.51,8.04,0
S,70.5,185,4.65,16,31.5,109,4.56,7.31,0
S,72.9,200,4.61,17,36.5,121,4.23,7.31,0
K,69.6,187,4.82,7,30.1,109,4.48,7.31,0
DE,75.0,255,4.89,24,37.5,118,4.68,7.56,0
WR,72.4,196,4.58,21,36.0,117,4.11,7.16,0
C,75.6,385,5.35,22,29.0,108,4.57,7.31,1
CB,73.1,200,4.67,8,37.0,122,4.35,7.31,1
TE,74.3,247,5.18,14,27.0,103,4.39,7.31,1
CB,74.13,208,4.5,18,38.0,132,4.36,7.31,1
DE,77.25,266,4.53,21,37.5,123,4.43,7.27,1
